R,G,B
0.1301,0.113,0.035
0.5989,0.709,0.7118
0.1059,0.3182,0.2719
0.1097,0.019,0.3624
0.9943,0.9125,0.0468
0.3833,0.2571,0.1499
0.4584,0.3691,0.2001
0.2191,0.4189,0.3493
0.3298,0.1877,0.6101
0.4027,0.3831,0.2874
0.654,0.5684,0.5155
0.2254,0.1696,0.2831
0.5165,0.115,0.3469
0.5082,0.1564,0.2266
0.2849,0.4133,0.2808
0.3292,0.5303,0.3189
0.4586,0.1782,0.3681
0.9989,0.7059,0.8552
1,0.5278,0.6712
0.4521,0.3584,0.3628
0.8396,0.4668,0.6135
0.3912,0.6227,0.6382
0.7368,0.6716,0.6903
0.5334,0.5934,0.6294
0.6277,0.7311,0.3021
0.1792,0.0704,0.1778
0.4819,0.198,0.0563
0.6169,0.5704,0.6153
0.1546,0.2062,0.1738
0.3581,0.2587,0.266
1,0.6705,0.3718
0.3611,0.8785,0.7423
0.4552,0.4766,0.5859
0.7861,0.4245,0.9529
0.1676,0.0962,0.0495
0.2416,0.2729,0.9352
0.4254,0.3753,0.2904
0.7205,0.5425,0.5116
0.547,0.5896,0.6314
0.1789,0.0853,0.0988
0.4339,0.1899,0.4038
0.3271,0.4415,0.9102
0.6184,0.1745,0.6452
1,0.6822,0.1704
1,0.6988,0.809
0.4976,0.6046,0.6095
0.9628,0.7547,0.5401
1,0.5454,0.1707
0.5375,0.618,0.3119
0.4566,0.3742,0.081
0.7993,0.7863,0.8276
0.932,0.4195,0.4685
0.4054,0.2433,0.1833
0.324,0.2649,0.3279
0.9711,0.8689,0.9635
0.5062,0.7577,0.2761
0.3569,0.3739,0.49
0.5043,0.608,0.5623
0.0796,0.6711,0.3917
0.8993,0.722,1
0.2334,0.4026,0.4769
0.6988,0.1974,0.1696
0.7571,0.6697,0.6441
1,0.3282,0.5782
0.6516,0.5905,0.1151
0.9975,0.2252,0.8839
0.7582,0.6705,0.6315
0.3947,0.2503,0.1663
0.1691,0.0862,0.1329
0.3839,0.2378,0.3282
0.9679,0.8856,0.8249
0.3292,0.0334,0.403
0.3584,0.1216,0.6853
0.4571,0.4831,0.5335
0.2495,0.1713,0.2103
0.6419,0.4016,0.5896
0.3323,0.6446,0.5026
0.594,0.5761,0.6285
0.7252,0.706,0.2387
0.5412,0.4791,0.2848
1,0.33,0.3596
0.8861,0.7581,0.8182
1,0.8819,0.4664
0.6075,0.2713,0.3484
0.2172,0.3856,0.5974
0.5267,0.5881,0.6852
0.4221,0.996,0.8403
0.3466,0.2602,0.295
0.6818,0.9476,0.95
0.3982,0.5029,0.4909
0.7774,0.3506,0.2934
0.5572,0.9761,0.878
0.2633,0.7792,0.4797
0.4617,0.206,0.1869
0.7131,0.5183,0.7176
0.2728,0.6451,0.5764
0.6799,0.6382,1
0.6778,0.7193,0.2619
0.4057,0.7696,0.3757
0.9169,0.7525,0.7659
0.4645,0.1277,0.4908
0.8172,0.9285,0.8405
0.9353,0.7556,0.6655
0.888,0.4316,0.622
0.5845,0.8239,0.9518
1,0.6646,0.7721
0.7884,0.8194,0.4722
0.2422,0.1883,0.0075
1,0.7424,0.1585
0.4748,0.756,0.442
0.8295,0.6613,0.4113
0.8357,0.9258,0.8186
0.2506,0.3037,0.1447
0.6638,0.9792,0.6131
0.2961,0.2556,0.44
0.8231,0.2982,0.376
0.3706,0.6421,0.4639
0.8061,0.448,0.819
0.2289,0.1299,0.4164
0.059,0.1251,0.1093
0.5707,0.6149,0.1418
0.1599,0.0888,0.1474
0.791,0.6833,0.2547
0.6496,0.5709,0.5058
0.5681,0.8581,0.6504
0.2854,0.1219,0.3399
0.5447,0.4685,0.4085
0.3484,0.403,0.2211
0.9381,0.7521,0.6902
0.4929,0.3526,0.2304
0.8383,0.9127,0.9385
0.5559,0.3209,0.2154
0.5024,0.8418,0.923
0.7207,0.9523,0.8244
0.927,0.5776,0.7705
0.5707,0.4256,0.6479
0.9601,0.9021,0.6645
0.5953,0.4551,0.3317
0.7942,0.8034,0.6751
1,0.8496,0.532
0.6377,0.3132,0.9124
0.8376,0.7892,0.6827
0.8621,0.6527,0.315
1,0.5668,0.4874
0.4147,0.5219,0.0895
0.4131,0.2374,0.202
0.7946,0.9294,0.8884
0.7549,0.2643,0.7789
0.1651,0.0873,0.1397
0.4729,0.0329,0.582
0.6409,0.5662,0.5806
0.5468,0.4515,0.549
0.344,0.1574,0.651
1,0.4558,0.9351
0.2589,0.8716,0.8929
0.5023,0.5682,0.8504
1,0.8834,0.6913
0.3932,0.7507,0.6752
0.3745,0.0635,0.2105
0.2997,0.3998,0.3999
0.9781,0.3442,0.6416
0.4932,0.4159,0.8296
0.8091,0.6479,0.6634
0.6292,0.1948,0.5703
0.3553,0.2634,0.2326
0.4623,0.2029,0.2118
0.2199,0.4274,0.2231
0.4692,0.1641,0.916
0.947,0.8967,0.7812
0.4937,0.3019,0.5794
0.4908,0.0601,0.5206
